PG.ProteinGroups,PG.Genes,EV_NT rep_#1,EV_NT rep_#2,EV_NT rep_#3,EV_DMOG_rep_#1,EV_DMOG_rep_#2,EV_DMOG_rep_#3,WTJ6_NT_rep_#1,WTJ6_NT_rep_#2,WTJ6_NT_rep_#3,WTJ6_DMOG_rep_#1,WTJ6_DMOG_rep_#2,WTJ6_DMOG_rep_#3,EDJ6_NT_rep_#1,EDJ6_NT_rep_#2,EDJ6_NT_rep_#3,EDJ6_DMOG_rep_#1,EDJ6_DMOG_rep_#2,EDJ6_DMOG_rep_#3
P63241,EIF5A,14235.28516,24837.05078,21232.82422,22799.67578,17456.67383,14986.15625,9328.801758,18770.31055,20675.23633,24457.41797,16282.64844,19688.0625,24570.97266,32403.38672,14812.59961,30483.21875,36447.12891,25287.77734
P63244,RACK1,3071.358643,44815.18359,42632.49219,33536.76953,19573.03125,3880.863037,3158.79248,1587.545166,1405.017456,1296.742432,1707.594727,3933.182129,2200.296387,1762.807373,4545.40918,1603.841553,1445.252075,1955.68335
P67809,YBX1,41415.42969,12308.98633,36961.19531,21011.70703,16855.14844,24272.57422,13414.41406,27459.12891,43467.99219,18272.18555,20492.35547,39636.94531,26306.5625,39961.38281,40751.53516,18772.74219,15358.84082,24703.69531
P67936,TPM4,5457.808105,111155.5391,8062.046875,17828.85938,1864.488647,13503.5791,4261.339355,24468.72461,1921.955322,7358.062988,19271.49219,8880.145508,8107.625977,37881.21484,6019.577148,1731.35376,36079.69531,2964.582275
P68104,EEF1A1,82176.65625,96779.13281,105732.5469,58821.26563,63367.47656,93590.91406,58927.58594,95180.42188,127513.7188,92019.79688,68093.71875,72695.125,76711.17969,127847.6406,95789.89844,55529.71484,61028.5625,86304.13281
P68363,TUBA1B,161401.0156,113831.8047,86919.32031,96155.10156,89511.71094,87889.625,178830.2656,105742.3672,138113.8594,127805.5859,135059.0781,98307.53906,151992.2969,144065.9531,127160.6719,122376.9922,150268.0781,146719.125
P68366,TUBA4A,171556.7656,116156.8281,155739.0781,109558.8125,106207.3125,122538,134273.3281,75281.84375,100106.3281,75962.21094,98187.21875,78240.60938,123293.6016,90335.95313,167929.6563,244745.1406,186544.3281,130123.5625
P68371,TUBB4B,85867.96094,95951.625,69807.4375,81465.96875,75463.63281,61211.53125,72620.14844,90385.32813,76814.1875,59927.82031,70641.54688,60379.87109,71980.91406,111098.9141,76387.625,80345.25,87514.17188,68727.96094
P68400;Q8NEV1,CSNK2A1;CSNK2A3,3603.372559,15241.80664,2917.433838,5689.612305,6115.044922,4494.111328,3644.479736,7231.620605,2130.274902,3432.268799,5004.037109,4150.709473,30425.93359,19315.57422,6604.212891,19948.30859,25224.93359,2272.12793
P68431;P84243;Q71DI3,HIST1H3A;H3F3A;HIST2H3A,296683.9688,196280.8594,173953.7969,290414.6563,341682.0313,263165.9375,229431.3125,101276.9844,145700.4219,150022.9219,172583.2969,263444.9375,204905.7969,159013.5,322866,413938.0313,264174.4375,143885.2344
P78316,NOP14,42473.29688,12264.90625,30200.40234,9183.367188,9352.106445,12255.14355,4370.334961,11266.93652,6194.692383,1412.462036,4124.971191,1100.508911,11803.6582,10760.26465,5989.057617,1909.595825,4799.888184,1404.50293
P78347,GTF2I,38992.82031,25658.25,31994.61133,33909.74609,29154.08203,29911.79688,30160.31641,30473.21289,36113.90625,35123.59375,24617.70508,27331.49023,39352.79297,46215.26563,34868.62109,44458.83203,23558.37109,26061.01953
P78371,CCT2,9066.936523,16217.85059,35415.78516,18939.3125,16745.10156,35841.53906,13112.54688,29534.18359,28571.89453,17951.97656,26847.33203,17574.82813,23258.51172,29441.67578,22476.89258,35131.375,38349.75391,24569.71094
P78385;Q6NT21,SWISS-PROT:P78385;TREMBL:Q6NT21,2711.675293,3065.187256,3225.476074,1986.472412,803510.3125,1158.997681,27374.52734,22145.89453,2635.368408,2012.463501,9426.621094,850.5042725,3414.547119,18572.5918,7706.117676,8687.814453,19785.01953,2922.399414
P78527,PRKDC,4481.78418,3981.342285,2504.148438,1422.457642,688.0673828,653.4960938,3802.275391,7734.174805,5736.280273,6048.544922,14614.58984,3378.188721,2752.571045,7062.750977,4804.200195,1187.69104,1233.495605,1384.997559
P81605,DCD,33254.5,116704.0859,65643.92969,52359.05078,31969.91406,59083.86719,49135.53125,14505.14258,49707.55859,19763.04688,29335.53516,14710.23828,36171.15625,53026.0625,58457.86719,24977.98047,27902.18945,77100.46094
P84090,ERH,5065.023438,1424.018677,23014.39844,12545.43945,3021.804932,3157.647217,4077.046631,5303.318359,2589.177002,5957.967285,8570.179688,4416.947754,7687.056641,15393.33301,6638.176758,2562.70874,1623.324707,12553.82031
P84103,SRSF3,4773.341797,18570.65625,52961.84375,87616.45313,30733.56641,36131.53125,80315.66406,43657.71094,104232.8281,56893.59375,46834.52344,96226.54688,130536.4844,106125.0938,171833,71668.3125,51936.62891,125639.25
P98175,RBM10,26346.86523,48713.69531,67376.35938,57133.14063,32447.51953,60179.01953,53911.06641,84337.1875,65636.46094,48512.33203,58149.96875,56081.14063,61482.05078,61327.47656,30989.19922,30527.39844,18941.79102,38161.60547
P98179,RBM3,13735.2832,9843.847656,25888.86133,10960.63086,9325.208008,19018.86719,9591.748047,19202.97656,23897.58398,18647.80469,14844.38086,24404.45703,22616.70313,27567.16797,5085.999023,7720.231934,7223.328613,24218.28516
Q00059,TFAM,20670.53711,18147.92969,12304.5791,26349.74219,13117.02832,13093.70898,3456.473633,8622.339844,15874.3623,18859.75977,15419.80859,14117.37598,18100.33008,14379.32617,6284.732422,1362.056274,7912.665527,18789.39648
Q00325,SLC25A3,5046.136719,4871.441406,1719.02417,2173.39917,29623.15039,1777.901245,4831.907715,1109.408691,10038.51758,5564.518555,6809.603027,8112.80957,3437.5,3792.319336,3389.889893,2204.526367,2590.226074,9220.59668
Q00610,CLTC,3754.775146,2907.663086,1288.684204,1788.395264,4936.757813,2599.014648,2532.603271,1289.421753,1653.717407,1543.856567,6453.480957,1631.302002,3022.013916,2132.640625,3853.072266,1570.765137,1666.889893,3289.550781
Q00839,HNRNPU,29196.19531,23237.9043,10312.63867,36239.71094,19996.99805,35500.77344,8303.634766,12726.48438,3847.024902,14746.9834,16424.1582,17423.10742,31880.07227,13632.74609,6874.313965,17194.33594,11148.97656,11408.82324
Q01130,SRSF2,32238.86328,19682.49414,39383.71875,29605.96289,1140.490356,17610.30664,60837.72266,54145.39453,73977.91406,54691.60547,56305.20703,51313.71094,108434.3516,109137.6953,3375.723145,13780.88477,58823.89453,95457.32031
Q01469,FABP5,2520.070068,1075059.125,20090.80664,74974.03906,4130.417969,44908.87109,224111.5938,40490.07031,10209.15332,8742.489258,16419.66602,8429.489258,56795.49219,1432.140625,43350.58203,15003.56152,3791.192871,10348.27734
Q01650,SLC7A5,17055.84766,3469.826172,5615.991699,14003.03809,15882.98242,4222.526367,4718.944336,5627.137695,2207.604492,5335.833008,20322.875,5936.275879,6767.975098,34419.13281,8624.552734,23629,37960.91016,4626.147461
Q01804,OTUD4,12867.91211,11429.74316,12027.93262,13404.1582,17098.78125,1498.096069,2143.480957,908.9653931,3598.937988,8371.946289,4466.397461,895.3098145,4286.205566,5480.279785,2617.423828,2160.056641,2389.113525,2776.178223
Q02413,DSG1,4486.331055,99186.27344,5791.374512,10985.4541,11194.35352,12343.84961,99730.48438,16920.10938,9303.834961,1934.150146,5589.233398,2449.5625,22015.86328,2790.902588,5484.560547,1774.047363,1509.35437,4319.567383
Q02809,PLOD1,3848.10376,1282.952393,1495.321533,2829.643066,1240.226929,2298.821289,2862.24707,2033.082764,2702.231201,2431.80835,3734.688965,3512.44458,3182.781006,3012.48291,2857.172607,2482.787109,2756.394043,3990.369629
Q02978,SLC25A11,2296.223389,1017.602661,15544.1582,9683.526367,16635.67969,15376.07617,14882.51563,15660.51563,21260.85938,12541.5625,17236.91211,9762.550781,10610.49609,16205.79785,2442.250244,13501.73828,1889.422119,9009.098633
Q03393,PTS,5072.540527,1101.99292,12922.92188,9678.275391,1944.513428,13624.79688,2509.455322,14244.43457,19479.17969,8495.953125,5317.87207,7281.051758,7886.003906,14590.85547,3450.289063,1679.784912,2180.679443,9948.950195
Q04695,SWISS-PROT:Q04695,3738.072266,120528.9688,3010.479492,2838.912598,6018.876953,1769.975586,32714.44922,5285.001953,1723.222412,1825.093384,1013.979736,1258.921387,39499.76953,1981.33374,4767.443359,2114.461426,1792.920532,2222.826172
Q05519,SRSF11,3486.519531,2248.943848,2080.534424,2107.371094,1485.37793,1323.731689,3529.692383,16598.72461,8984.53125,44431.35938,51107.86328,37082.69531,37239.91797,40741.59766,20369.98633,5669.878906,27562.73047,17799.56641
Q05639,EEF1A2,5075.63623,4276.651367,1902.923462,6448.487305,3701.081787,8252.195313,6488.334473,6360.857422,9705.019531,13424.80664,6554.109863,22454.35547,9975.444336,7810.634766,6627.098633,6896.319824,8679.112305,11103.60742
Q06830,PRDX1,74883.38281,99131.50781,47680.32031,78377.84375,60987.87109,45254.26563,50808.48828,82932.1875,74508.85938,82681.89063,84999.71875,99403.65625,49491.59375,93431.40625,46527.13281,123768.9219,102518.6094,87806.10938
Q07021,C1QBP,5170.493164,3122.095215,4332.148926,1530.604614,10217.9502,1274.432983,4830.188477,2164.148682,1563.593994,2011.210571,1679.041382,2576.131836,1731.894775,4499.708008,3667.217041,1655.553467,2146.86792,2813.479492
Q07666,KHDRBS1,11918.31836,6435.910645,13397.62109,13703.62305,6092.79834,9829.272461,5698.813477,11287.22363,11294.42969,22903.73242,11477.14844,12186.29688,4762.971191,13614.00684,5189.318359,4965.270996,7833.417969,15314.95605
Q07955,SRSF1,46126.98047,24498.51953,206675,101334.9609,9995.130859,56796.01563,38809.87891,60728.75781,155231.2656,77779.1875,45255.25391,61910.09375,130132.4063,105169.8984,3142.471436,2350.488281,20653.8457,119676.2734
Q08211,DHX9,10053.28027,7703.462402,9157.168945,13850.56738,19110.91211,20368.00195,19678.82227,10059.05469,11656.45508,9657.077148,12767.7168,14077.02148,6216.429688,17620.74219,6099.124512,26958.38672,21524.30078,17878.02539
Q08554,DSC1,3994.529297,70070.63281,3291.637939,4800.141113,15964.75977,1472.686279,99569.53125,6489.311035,4278.946289,1788.509399,5066.246094,682.600769,20216.56641,9354.107422,9551.773438,5631.591309,1275.629883,8097.628906
Q08J23,NSUN2,3574.373047,1185.369629,2045.127197,3157.684082,4690.401367,1301.783691,4185.594238,6017.915527,9116.519531,16495.61523,8218.651367,6694.568359,14741.57129,20975.79102,18986.68359,17825.99414,23093.49805,23947.6582
Q09028,RBBP4,6132.827148,2159.302979,6520.628418,16437.92969,18885.57813,2334.88916,4298.552734,16520.43359,23412.25391,25824.58984,15796.24023,23227.93945,6301.469727,15247.62305,12163.73145,2407.252441,2335.018311,6417.799316
Q0IIK2;Q29443,TREMBL:Q0IIK2;SWISS-PROT:Q29443,3346.034668,6019.583008,28128.27344,14672.38672,7322.811035,7839.848633,7101.222168,1380.744751,7843.930664,3983.684814,13127.00879,6769.197754,3123.350342,2030.198975,6402.639648,1331.779053,1614.57605,40647.39844
Q12905,ILF2,33486.86328,25050.625,26800.70703,17782.15234,18510.15625,18162.41797,10982.38672,8794.164063,3896.271484,7232.837891,9485.921875,4477.064453,7053.135742,8017.087402,6428.079102,15005.27246,8086.926758,8070.023438
Q12906,ILF3,3564.905518,6997.115723,6462.008789,13457.2002,16757.57031,3634.950684,12610.02148,1588.293823,4305.10498,10060.04102,686.7979126,10454.53711,3466.793701,11458.31348,4601.720215,1216.920898,1484.599976,1435.063843
