PG.ProteinGroups,PG.Genes,EV_NT rep_#1,EV_NT rep_#2,EV_NT rep_#3,EV_DMOG_rep_#1,EV_DMOG_rep_#2,EV_DMOG_rep_#3,WTJ6_NT_rep_#1,WTJ6_NT_rep_#2,WTJ6_NT_rep_#3,WTJ6_DMOG_rep_#1,WTJ6_DMOG_rep_#2,WTJ6_DMOG_rep_#3,EDJ6_NT_rep_#1,EDJ6_NT_rep_#2,EDJ6_NT_rep_#3,EDJ6_DMOG_rep_#1,EDJ6_DMOG_rep_#2,EDJ6_DMOG_rep_#3
Q15057,ACAP2,4478.363281,9517.732422,21088.60938,7544.152344,11617.36719,14179.81836,8880.518555,9028.727539,6304.123047,12917.11719,10385.83203,11723.19336,17661.62109,12164.40039,9519.979492,15889.85742,25908.9375,16319.97949
Q15059,BRD3,4459.115234,1618.085815,2506.634277,1249.248291,1304.596191,1162.724365,4348.275391,1298.032227,1778.041016,690.4093018,1642.12561,2603.213135,3076.888184,2143.420166,3867.755371,1461.737305,1813.215576,1621.320557
Q15084,PDIA6,85393.65625,26502.60156,43365.21094,54233.29688,30252.56445,35830.08594,4371.066406,9261.213867,10413.96777,36488.28516,14995.69141,30244.45898,3184.365967,5827.375,29627.26758,16389.20117,3760.255615,21461.80078
Q15181,PPA1,3620.029053,2262.660645,2406.688721,9104.452148,1510.118164,1069.942871,3658.583252,1563.324707,1985.362793,1869.779419,1605.894653,10034.88867,2562.293457,12259.41602,9135.499023,1232.477661,1732.605957,1231.396118
Q15185,PTGES3,2675.009277,12771.18457,1924.477539,17254.85547,24238.80664,1000.515747,8285.172852,1135.58313,1593.571045,19406.51563,997.9319458,24790.33203,22762.97656,15865.90918,31719.90234,37195.23438,13910.45996,19598.20898
Q15208,STK38,86139.3125,93087.92188,111652.3516,27649.69531,110024.2344,111689.1172,58703.57031,122683.9688,140598.8281,60957.80469,45929.60938,42149.09375,65547.67188,79265.92188,82314.57031,74988.09375,58599.02344,71486.88281
Q15233,NONO,12650.15039,27780.19141,37131.44531,13486.89453,7674.380371,25075.79297,15562.62109,11206.43262,24220.39453,8908.646484,9292.141602,2788.66626,5338.63623,10413.78906,4773.099121,10408.72852,2577.531494,5289.206055
Q15323;Q9UE12,SWISS-PROT:Q15323;TREMBL:Q9UE12,3603.358887,1284.230225,1653.711182,1791.617554,214459.1563,850.5166016,2070.573242,1300.911621,1181.613525,1384.997803,1355.629761,1312.852173,1483.437012,1465.856445,3891.029785,1809.887451,1942.248413,2088.138184
Q15365,PCBP1,18426.55273,15381.625,8909.896484,25915.30469,22593.41406,19288.21875,12986.61133,17915.58203,31805.01953,42806.80859,42885.78125,41722.57031,36445.32813,35691.14063,56674.03906,63653.55078,73736.45313,49179.41406
Q15366,PCBP2,15620.39844,18640.2207,24298.41211,31710.125,4280.599609,22055.32422,13572.20605,22781.79102,28243.80078,29799.45313,38758.76563,29049.83789,27027.70703,37045.37891,34003.89453,40203.91016,60890.10156,37694.10156
Q15393,SF3B3,51782.34766,34783.31641,49900.82813,58971.18359,31392.81445,36800.73047,5747.471191,30564.37891,31161.97852,33551.23438,28098.54883,42878.26953,24460.04297,24052.24023,26235.83203,21527.20703,22515.88281,39178.19141
Q15427,SF3B4,119309.4219,41349.64453,121619.2891,64014.05469,53603.51563,42014.98047,44523.42578,16884.10352,42881.36328,32788.85156,23980.38477,1696.868774,40565.32422,26122.375,39164.52344,13315.27734,46731.51563,29973.03906
Q15436,SEC23A,5940.05127,942.2106323,2836.680176,2757.716309,1657.694702,1810.898193,4686.906738,1377.147827,1888.844971,2882.198486,1505.844482,3154.051758,3093.793945,2301.848145,3654.960449,1423.36377,3800.039551,5403.181641
Q15517,CDSN,29024.375,200210.6563,1540.155273,47050.35156,16341.94336,14786.05273,169040.5938,27260.50781,39745.20313,8604.725586,6272.766113,8089.247559,28799.50977,6970.258301,33194.55469,1775.080566,2363.05957,30449.69922
Q15637,SF1,8664.477539,8383.59668,12158.6748,7727.688477,19939.88281,7914.001953,4768.933105,14543.47266,9459.849609,9714.089844,20343.06641,3271.230713,5242.401367,11670.13574,5864.907227,6792.522949,7773.486816,13280.87793
Q15654,TRIP6,3763.565918,7272.256836,1683.803589,12133.06152,11803.6084,885.4550781,1492.736328,4931.130859,16057.38672,9839.897461,6850.23584,7446.836426,5298.030273,8972.311523,3639.905273,16473.37891,1494.075806,6522.369629
Q15717,ELAVL1,34576.96094,1981.223511,19618.7207,34110.50391,5550.462402,18680.94727,23568.57422,7980.606934,2241.634521,34626.99219,21071.73633,26594.25391,2845.226807,10921.3584,12687.66992,2042.680786,2089.5,33134.29688
Q15750,TAB1,30144.00586,12058.21094,53688.46875,44105.45703,42388.01563,39745.64844,11010.75,53990.19141,60690.01953,27650.79102,36835.17969,24244.81641,16362.20313,33940.42969,16390.68945,27237.98242,33374.08984,50942.21484
Q15796,SMAD2,2313.23291,1399.936768,2089.452148,2619.514404,1101.044678,1326.259766,2514.356445,1060.66272,1542.490112,3759.466797,1479.154541,32938.30078,1906.620117,1431.024414,6731.718262,30255.52148,2053.776123,2589.556152
Q16186,ADRM1,11009.30176,5841.473633,9776.931641,5637.680664,4343.650879,8133.836914,7371.267578,1847.463623,5186.533691,2065.130615,4604.664063,6834.798828,2220.722412,4865.788574,5233.988281,5372.722168,6127.931641,2829.75708
Q16531,DDB1,3273.26001,3200.445801,4250.312012,2791.091797,1511.651001,8055.275391,3604.526367,2189.373535,7442.317383,4922.369141,4730.510742,1217.145508,2111.315918,6444.424316,7160.570801,2269.514404,3057.844238,2842.364746
Q16540,MRPL23,87447.64844,53024.34766,59661.46094,51648.10938,38870.53906,55385.75,2415.915039,974.1719971,888.3635864,7494.928711,5747.978516,8903.292969,2256.757813,2986.606445,2904.987793,2431.277344,3713.136475,3532.921387
Q16630,CPSF6,8729.257813,4379.801758,16402.21289,8639.521484,4734.454102,17509.37695,15249.28418,6493.680176,5860.92041,19050.70313,9620.010742,4063.553711,2059.853271,8361.589844,3962.605713,19051.47461,20120.5625,13006.95313
Q16649,NFIL3,3800.829102,2088.054443,2624.674805,10374.41992,16355.03516,9051.704102,3754.193848,1505.270752,1703.362061,6836.958984,7149.346191,4561.001465,2633.085938,3050.075195,4419.083008,19266.80469,10609.58008,1358.475342
Q16658,FSCN1,3160.944336,31601.45313,6830.294434,7461.000488,7659.269043,2600.048096,2427.505615,11635.16992,8841.40918,16819.31641,16849.83594,1271.526489,10916.33984,12779.49707,4675.005859,2109.687988,6975.9375,14605.7207
Q16875,PFKFB3,4302.863281,11560.5791,6051.308594,81950.57813,101547.2266,93304.875,4694.40918,11992.5791,10251.23633,63788.04688,70063.82813,64783.28125,11965.57031,12102.24316,6985.341797,37380.48828,83872.66406,76358.08594
Q1KMD3,HNRNPUL2,3426.414551,3086.368896,3308.923584,3044.294922,5567.266602,1573.94104,3493.978271,2759.740723,2577.389893,5891.577148,2148.723633,1694.163452,2440.671875,3891.371826,5738.456543,1783.120483,6144.334961,2216.805908
Q2NL82,TSR1,27650.24219,29898.70898,45804.17969,42077.07031,33683.34766,47513.96094,56682.08594,18618.23047,40679.60938,42623.92969,36795.03906,28760.27734,45028.03125,16704.13672,40748.16406,81430.85938,94229.92969,81396.14063
Q2TAY7,SMU1,3369.192383,1518.658936,2098.084961,9943.46875,9177.063477,1175.3125,11694.45605,5517.079102,13107.86426,3049.889893,8857.00293,9697.512695,7739.696289,9955.863281,6946.581055,7635.958496,7866.960938,5764.583984
Q2TBE0,CWF19L2,2856.336914,1490.72229,2213.904053,1655.779053,968.0755615,930.8690186,2789.502441,1220.579468,1397.439331,24625.53516,21670.41602,18816.82617,1979.033936,2054.716797,5323.134766,1627.888428,1801.568848,2360.949219
Q3B726,TWISTNB,2344.698242,2115.695557,2702.931641,2707.424805,2536.250732,654.2557373,3899.361328,1606.693604,2390.915039,5182.800781,4687.105469,1656.923706,1601.549072,1321.079346,5493.771484,12845.0332,1212.537598,1358.682007
Q3YEC7,RABL6,2086.570313,2213.049316,2255.014404,1798.858276,1344.093506,988.4498291,4020.850098,2145.582275,1516.820557,25450.35547,21371.33984,17680.52734,2188.421875,2166.104248,5280.591797,2941.469238,1787.823486,2787.000977
Q49A26,GLYR1,71641.64844,29649.07031,36362.74219,30264.8125,17205.02344,27265.84766,10059.08203,9050.538086,14906.03809,27520.00781,6894.662598,7711.679688,24225.98438,8744.56543,3735.97168,26181.57422,28940.74023,17268.87695
Q53GS9,USP39,31319.70703,14265.24512,24273.52539,17401.26758,16440.7207,25282.26953,14893.60254,15134.63477,15725.90234,12236.44922,4483.881348,9434.631836,15097.28613,14722.13281,3362.646729,8716.416016,13227.63184,14897.44141
Q53H96,PYCR3,11503.08203,3341.44873,8169.283203,11482.49023,6883.837891,5595.459473,6244.017578,10200.39453,14958.51953,8450.517578,1602.160156,3951.789551,3892.69043,3719.251953,7738.49707,7975.644531,4258.841797,1628.784302
Q5BKY9,FAM133B,6985.628418,7747.081543,75824.08594,14144.33398,8517.089844,4885.832031,6851.490234,6826.92334,53350.95703,90593.71875,64359.32031,100679.3047,75688.53125,83438.26563,73238.9375,1794.906982,13391.88379,68984.74219
Q5D862,SWISS-PROT:Q5D862,4288.038574,7481.416016,2990.405273,3010.236328,2989.456055,1691.473755,15185.30273,1712.870361,2355.739258,1258.570801,1062.817017,1342.688477,3361.165771,2208.691895,4435.471191,1753.561523,1761.428223,2961.215576
Q5JUX0,SPIN3,9477.731445,8711.452148,14100.28906,7159.526855,7101.265137,2302.715576,8880.608398,10628.38867,2727.09375,7849.484863,3884.269287,6141.602539,26514.04688,13146.72656,6722.936523,15045.88867,8005.939453,5089.09375
Q5SWX8,ODR4,11236.77344,35564.41016,36433.10547,18500.39844,52213.25781,16589.04492,5225.05127,15719.42969,8766.019531,10455.71973,6986.172363,26484.0918,12774.58203,23359.66016,13880.07422,14100.4707,37070.49609,18663.41016
Q5T280,SPOUT1,3560.983398,5108.228516,22911.70703,7115.742188,4271.96582,16068.19238,11267.76563,15774.86328,23349.77734,9329.086914,10615.72949,6187.619629,19126.28125,22639.85742,23662.55469,9882.318359,15044.74512,11114.32324
Q5T3I0,GPATCH4,5572.073242,1416.217773,2157.23999,2257.772949,1611.463867,3512.208496,15252.55859,10581.06738,16648.53906,24431.78125,37615.75391,41695.44141,23298.36133,29457.43164,10865.70605,18771.23047,10756.0459,2479.110596
Q5T653,MRPL2,10258.24609,20619.33594,29484.52539,22312.36719,19489.67383,6438.824707,3258.534668,1189.33252,1512.258789,2478.428467,822.008728,1067.996582,2525.519775,1670.366699,4843.560547,4469.168945,1695.764038,1833.311157
Q5T749,KPRP,5170.733887,60219.70313,3405.944824,47474.03906,13959.60156,3312.567871,89606.22656,1908.889893,2446.237305,1864.346802,26713.50391,1892.975952,34902.05469,3071.751465,9309.182617,2001.127197,2122.167969,4856.44043
Q5VTL8,PRPF38B,5699.835449,1472.102905,2256.383301,1390.928955,1376.255737,1225.766724,2949.822021,1464.906616,10365.8252,5264.022461,8031.155762,1049.350586,28991.54492,21542.48242,16876.72852,3206.355225,32027.69727,29258.24023
Q5VWQ0,RSBN1,3049.826904,1632.984985,2177.800781,1578.506226,982.6817017,901.8434448,3362.223633,1734.940918,2567.437012,48225.32813,41342.17969,44288.14063,2343.554199,1981.335205,4375.208496,1792.216431,2408.793701,2156.976318
Q66PJ3,ARL6IP4,2906.717041,1295.087769,2445.659424,2192.459961,1070.819458,1074.383545,73277.42188,73419.73438,69226.0625,251242.6875,146357.4688,249313.4844,198638.4063,266092.3438,430513.7813,159093.7031,168275.1094,204350.4219
Q6KB66;Q6KB66-1,KRT80;SWISS-PROT:Q6KB66-1,2135.834961,27382.13477,2740.260498,9539.666992,789.5316772,1218.692627,16878.40039,5616.822754,6777.378418,1623.647461,1188.496338,1246.733643,1451.674805,3749.766357,5418.146484,7095.30957,3596.0896,2714.859131
Q6NYC1,JMJD6,3344.633789,1823.746338,2524.338379,1571.215088,1140.030396,1151.891113,615496.25,445754.875,630309.125,538815.8125,290502.4375,259560.6875,1038084,969772.25,779349.25,653329.375,524887.125,506970.375
Q6P2Q9,PRPF8,21273.18555,24162.00977,16808.50391,26946.8125,20950.22852,25297.77734,12388.21191,16731.4668,11607.83008,12391.90625,10583.30957,12112.88867,4011.27124,8643.066406,5204.985352,3325.172852,7183.73584,8982.447266
Q6P3W7,SCYL2,4352.092285,1473.896851,2153.604004,5459.158691,3911.402588,743.3447266,3134.462158,1094.373535,2447.584961,4048.15625,5261.988281,1108.833374,2424.945801,1636.282715,5060.445313,4046.152832,1788.178223,2044.578735
Q6PCB5,RSBN1L,3654.020264,1661.820557,2337.848633,1262.26416,794.7907715,771.6936035,3637.906006,1740.068848,2194.116699,52175.01953,44241.53516,28907.91211,2546.998291,2189.565186,4870.523926,1536.90686,1505.996094,1730.624023
Q6PKG0,LARP1,4586.725098,5154.115234,5082.077637,5384.65918,46330.95313,20032.46484,3103.12207,5307.919922,3631.241211,2474.51416,1132.575562,12820.8457,3546.593506,25032.53516,16725.40234,1505.697632,28024.2793,16667.21289
Q6UB35,MTHFD1L,3907.505127,24845.82813,3159.437256,12573.63477,9624.130859,15955.94043,4607.969727,2063.095947,2583.169189,4947.8125,12475.09766,1973.716187,6740.169922,7458.32959,3542.337158,2514.472412,11250.01758,2444.868896
Q6UN15,FIP1L1,3553.336182,1686.671387,5898.680664,6452.536621,7821.688477,5349.848633,2492.711914,2667.617676,1762.173218,16631.67969,20373.95703,22330.76758,2520.486084,5076.178711,6390.525391,8760.569336,9308.214844,2892.385742
Q70IA6,MOB2,73804.0625,50856.125,52953.12109,72644.98438,90951.33594,95511.55469,44763.88672,45710.76172,61244.07031,93281.39844,97751.07031,51165.58594,6743.012207,14041.6582,4209.154297,55256.41406,104632.0547,62416.96875
Q7KZF4,SND1,23586.62109,20671.91797,1843.182007,1899.750977,8000.722168,1020.372559,2658.755371,933.3880005,10603.53027,16149.06348,11940.23633,1112.275269,2030.225342,1415.948242,4398.743652,1642.158813,2611.800049,2861.486328
Q7L014,DDX46,3591.127441,2034.433594,2161.577881,1421.234253,806.7042847,722.1997681,3893.575195,3568.618408,1845.89856,1352.07251,1404.310669,1164.613525,17005.0293,39184.46875,26892.34766,14396.94824,35451.74609,19499.32617
Q7L4I2,RSRC2,3047.17749,942.9866943,1450.467407,1730.411011,1357.091431,1217.200317,2070.428467,933.0267944,1216.582397,4326.96582,1652.481689,3308.584229,31018.91797,19925.52344,20822.2793,33263.64844,24416.49023,37351.23438
Q7RTT2;Q8N1N4;Q8N1N4-2,TREMBL:Q7RTT2;KRT78;SWISS-PROT:Q8N1N4-2,14105.80371,48889.54297,3791.266357,18706.61523,17156.41211,6597.277832,90999.45313,2722.251221,9389.078125,2290.760742,5520.20752,3714.158447,3477.936523,1876.758911,7154.904297,1725.13916,2036.409058,3336.64502
Q7RTV0,PHF5A,3425.249023,13047.60742,2351.289063,8431.919922,1218.981445,1214.62915,3185.517578,6436.836914,3151.378174,16332.60547,7066.831543,4034.543945,2957.135254,40211.5625,5451.401855,1881.607056,1650.277466,6166.983398
Q7Z2W4,ZC3HAV1,3604.509277,2216.390137,3344.357422,14432.32324,2183.19043,987.9576416,2673.852783,2275.165039,17798.66211,11791.20117,829.2510986,988.8874512,2050.856201,1689.852783,17485.63281,20053.41211,23618.82813,1181.881836
Q7Z794,SWISS-PROT:Q7Z794,20289.98242,22631.7793,2896.574219,6489.106445,6949.571777,1250.7854,4074.166748,1738.151611,2255.566895,1350.053955,23229.76172,8161.802246,5805.958496,2176.723633,4957.542969,1563.229736,4634.842285,1904.299561
Q86V81,ALYREF,13500.9375,10363.7207,8923.613281,22235.71289,15844.78516,9969.037109,15628.51172,19846.19531,16427.28516,12315.87891,19165.08398,10904.2168,12516.05957,20736.63867,9820.268555,37202.375,23881.61719,10827.39453
Q86XP3,DDX42,4317.455078,11665.77539,24756.30664,7326.158203,1660.41626,23001.125,3691.42627,2444.896973,2470.094238,8543.647461,3665.702148,6691.257324,2271.901855,2823.706055,4137.484375,1628.342285,2606.598877,2629.333984
Q86YZ3,SWISS-PROT:Q86YZ3,3195.006348,2130.162598,2569.998535,20396.29688,3655.098877,6972.642578,41401.25,4018.934082,4015.274902,3397.44043,1036.450317,902.1932373,6761.669922,3342.18457,4016.03418,1813.43103,1950.271484,2747.703369
Q8IVS2,MCAT,3132.981445,1918.248047,1982.203857,2005.101196,1075.477051,673.0438232,3844.63623,2552.147461,10978.0791,10494.62402,763.9918213,5103.777344,6794.412109,11853.0918,4833.868164,9651.97168,4667.683594,8243.016602
Q8IWS0,PHF6,4273.772949,1965.531494,2801.154297,1627.08374,1018.359192,889.0246582,3523.980469,2210.823486,2178.269775,14223.0127,6069.535156,35377.49219,3461.280029,6045.979492,6098.877441,1453.998413,4102.477539,12940.84277
Q8IXH7,NELFCD,3216.584961,1495.372559,2073.864746,1858.284058,4328.841309,2521.542236,2865.844727,584.7288818,1657.050659,1739.556641,830.0735474,687.5693359,2078.135498,840.5387573,4250.444336,4022.312988,1882.688721,1682.73999
Q8IXM3,MRPL41,10194.4668,5808.174316,3440.238037,7813.888184,6097.086914,1666.391479,2263.688965,2134.783203,1631.90918,1846.69165,1189.276855,1554.345703,2621.602783,1268.933105,3920.746338,1843.273438,2320.85083,2147.393555
Q8IYB3,SRRM1,3445.674072,1139.673096,1618.304565,2618.795654,1590.569458,1600.314941,2513.842773,942.8827515,1605.613525,5631.351074,7882.331055,8455.033203,1990.385376,1429.197876,3216.77417,2265.825439,2462.827637,2102.815186
Q8IZQ5,SELENOH,2445.140381,1487.964966,2081.223145,1475.741943,1085.544922,987.5162354,46327.20703,32844.4375,55248.76953,45252.30859,37942.31641,20377.63672,57278.36719,68102.92969,127240.3594,61967.47656,63184.68359,57517.14844
Q8N1G4,LRRC47,2828.562012,1031.376465,1708.240112,2183.113037,946.5955811,1290.497314,44867.20313,43849.71484,40834.12891,70449.64844,76574.19531,82084.03125,9718.058594,5585.569336,5997.152832,4523.168457,23545.51563,21594.60742
Q8N5C8,TAB3,5717.499512,5846.332031,10959.28223,7575.388672,10248.63281,13967.50293,2872.549805,10776.95703,6415.842773,4396.664063,8500.193359,6438.880371,1985.029785,5511.089844,4479.461426,2814.618896,2085.991699,3199.686523
Q8N5F7,NKAP,3557.993164,1058.500244,1655.694824,1515.608398,1204.159424,1353.651367,4387.687988,1623.672729,3569.172607,64791.10156,76400.51563,60206.97266,6244.561523,10949.77832,8775.924805,5873.227051,7761.902344,5241.186035
Q8N5Z5,KCTD17,2743.046631,17237.39648,18984.89258,10542.29297,6930.794434,14180.35449,2900.099365,5159.868164,10141.49512,3657.312012,1623.70459,1409.237915,2649.519531,8473.600586,5794.64209,2092.105957,5520.070313,3426.902344
Q8N684,CPSF7,2216.364502,2749.941895,2051.544678,15442.17676,20088.4082,1773.060303,4401.652344,19686.57617,1515.415527,17613.19922,29044.84961,23392.5957,1660.072754,23968.86133,5786.50293,49164.82422,25372.46094,19675.79102
Q8NBJ5,COLGALT1,3206.037109,1667.697632,2275.535645,997.980835,15145.25195,17821.56836,3304.765869,1321.129395,1899.835938,22513.75391,10559.1416,1273.595825,2301.267822,1949.391357,4324.448242,15679.53711,20277.94727,1517.256714
Q8NBS9,TXNDC5,57080.91797,15210.87012,20541.94336,35958.29688,9326.363281,16319.26855,47459.22656,25010.16602,33826.07031,36239.01563,22918.92188,22993.73633,37144.67969,18612.29297,3650.73584,10251.74023,19261.32617,36244.14453
Q8ND56,LSM14A,9088.583008,31468.08203,12576.78906,21992.45703,19520.65625,9550.137695,12636.74023,20776.35938,15469.20117,5057.250488,11971.3457,1719.677856,14779.89063,22859.73828,4000.611328,7458.352539,14519.92578,7581.810547
Q8NE71,ABCF1,4632.083008,1565.164063,3497.891113,2908.67627,5188.123535,762.5432129,6371.803223,1793.382324,2538.922363,19556.92578,8711.825195,7361.669434,12092.99707,19394.57031,5008.939453,24443.95508,38297.80078,1608.398438
Q8NFW8,CMAS,4485.967773,15013.81641,12487.35547,20374.9375,18095.15625,18672.01172,3788.188232,6635.645508,11895.19922,20771.96484,15827.58984,10960.68359,7049.632813,6763.774414,6606.050781,11005.76953,18060.74414,18737.01367
Q8TA86,RP9,8241.174805,7127.300781,21105.05078,8374.763672,896.4317627,1922.024902,3793.317383,2355.727539,9693.580078,32470.14258,17900.86133,25701.89063,11271.5957,8464.157227,4760.563477,1870.797974,2929.883057,6786.543945
Q8TAE8,GADD45GIP1,21378.74023,7632.097656,28892.65625,14091.35352,14973.26758,19647.05469,3965.171387,4817.412598,6235.648438,4173.237793,1940.627686,1947.86377,2883.892578,2261.510986,3936.803711,8573.739258,3355.659668,2815.973389
Q8WU90,ZC3H15,4598.883301,1553.085083,3520.152832,20387.26172,21123.25,24359.82617,3323.026123,1805,8756.616211,21289.12695,14403.19629,12417.85059,2569.555664,12183.0498,2773.38623,11193.52637,2135.310059,17667.86523
Q8WUA2,PPIL4,51961.25391,35475.63672,46757.92578,28598.32422,21926.35547,34872.42188,51438.63672,56629.42188,57770.03516,37071.28906,30477.90625,28504.65625,20458.76563,22627.50195,7240.819824,6431.569336,21812.37695,30622.11523
Q8WV24,PHLDA1,3455.937988,5320.791016,4354.006836,13855.59082,11409.99219,6566.635254,2568.018799,4649.172363,9550.438477,11962.83008,869.3942871,4696.435547,10486.3291,4018.067383,18961.39648,14052.20605,1409.386841,7232.754395
Q8WVM0,TFB1M,17603.07031,11816.55957,27892.74219,16646.25195,14306.99219,12842.01172,43609.69531,1792.505859,28106.08789,26559.17969,25062.08203,22181.88086,2432.016602,25188.16406,5938.541016,59806.89844,41488.71875,3121.504883
Q8WWI1,LMO7,46533.13281,32722.00977,30733.97656,20849.33203,13977.2627,29384.82813,4395.599121,1959.687378,5477.783203,5574.795898,1689.129395,1645.939209,7971.164063,8841.265625,6302.263672,11742.91797,5335.071289,7737.753906
Q8WWY3,PRPF31,67785.67188,73050.78125,90966.20313,94188.41406,106706.3125,72629.45313,81008.21875,100865.9219,110369.8125,116011.7734,94045.60938,126946.8125,73708.14844,93059.27344,183272.6406,181106.5938,108366.8906,103000.2656
Q8WXA9,SREK1,3711.275635,1234.109375,1153.854248,2955.608643,923.9462891,965.3626709,2776.762695,578.5691528,2771.755127,9810.000977,6820.130371,5688.128418,2125.531494,27843.12891,6125.438477,13084.99707,12037.2832,23446.48633
Q92572,AP3S1,4411.567383,1712.404053,2252.542725,1042.815552,756.6072998,524.3018799,3725.721191,1884.197632,18414.38867,45015.01563,55482.57031,47369.62109,2820.876221,2507.237305,27224.75195,1405.280029,1013.791443,1684.845825
Q92598,HSPH1,16905.09961,14718.11914,14164.74023,9948.322266,20975.50391,8933.414063,5788.658691,5236.599609,7280.58252,6590.995605,11291.07227,8287.103516,16700.20703,19048.24219,10703.80176,26264.14453,18744.91016,20072.51758
Q92620,DHX38,20055.43359,17565.03906,13023.71191,18739.97266,17106.75195,22184.23438,7083.158691,22681.03906,8129.308594,19123.94336,12216.37305,7108.39209,6232.83252,10055.14551,5298.67334,17621.99023,9104.905273,7102.385742
Q92769,HDAC2,4906.486816,8302.373047,26303.84766,5086.735352,463.5523682,14677.4707,4719.662598,8999.150391,14743.28027,8514.491211,6166.686035,3235.305908,10720.81152,6916.637207,5344.14502,2082.496582,9162.887695,14338.97168
Q92841,DDX17,11826.86621,4911.96875,16546.85156,20945.66406,24216.52734,21013.09375,16197.47754,15410.96777,28580.10547,29433.45508,18410.50586,29902.54297,4883.513672,23747.88281,10406.22656,18152.90039,22666.98633,27425.64844
Q93009,USP7,3608.662598,2245.772217,2484.281982,1396.490601,910.519043,2855.869385,4276.616699,2093.298584,2584.52417,6699.891113,2614.476074,2312.790527,2651.034912,1873.461914,4864.368164,1286.738281,1140.756226,1733.039917
Q96A35,MRPL24,44681.78125,1573.28125,24973.40625,3685.365234,16742.30859,32018.92578,2899.77832,1184.041138,1521.294556,5125.27002,716.8458252,391.201355,2088.739502,1964.068359,3559.248535,1548.722168,1764.117432,1960.464355
Q96AV8,E2F7,4320.553711,2321.7854,6251.080078,10289.6123,16058.55371,2660.407959,3134.072021,1225.381348,1580.35083,3120.96167,3139.905029,1709.175171,3102.989258,12531.52441,4992.014648,2381.844238,8789.833008,2039.977051
Q96CT7,CCDC124,43252.49219,28086.49023,44144.55469,3070.326904,962.572937,3104.408691,14609.70801,15169.23633,10833.50488,936.4647217,767.8812866,527.9666138,19883.12891,39990.92578,43790.14063,1441.363892,1028.121948,1600.696045
Q96DI7,SNRNP40,5493.448242,10614.06445,12463.19238,15095.05664,14263.00391,830.2974854,2790.500732,6379.34375,6252.891113,16346.58398,1008.026123,15493.0166,6255.492676,7326.496094,6668.645508,6362.636719,6179.334473,2754.687988
Q96DV4,MRPL38,49211.39063,33017.39453,57954.25781,28435.49414,23153.75586,26804.74805,8298.631836,4649.79248,8660.306641,10939.59766,3960.031982,8801.304688,3308.53125,2059.255371,9876.157227,5478.532227,6038.447266,2741.275879
Q96EL3,MRPL53,3453.027832,3879.731201,2972.686035,15469.21484,18667.58203,3777.260498,2047.278931,4737.758789,1887.529541,2700.845703,2089.919678,5603.643066,2171.905273,2764.766602,3351.696289,929.8974609,1271.098877,2551.278076
Q96EY4,TMA16,3248.637207,1069.951538,1823.447876,8662.464844,5734.664063,1565.758545,2483.781006,1135.895142,3254.862305,17968.06055,2788.259766,26110.5332,2082.995117,1630.094116,8098.375,7841.890625,2588.420898,16707.31055
Q96GC5,MRPL48,23387.69336,11563.83691,11019.24414,18698.42773,20541.98438,12101.18945,3657.643799,5449.032715,5226.569336,2834.260742,4998.143555,3296.891113,2805.209473,6664.762207,6177.69043,4798.46875,1182.300293,1355.439697
Q96HR8,NAF1,4260.586426,1833.512939,2551.831055,1184.551514,683.2468872,643.4504395,4193.45166,15047.96777,18679.91992,215332.3281,119416.8203,98472.28125,73329.375,62612.26563,4674.172852,1410.437744,12734.50098,51569.94922
Q96HS1,PGAM5,12941.92969,19485.59375,25011.58203,24536.5293,73329.14063,20147.47656,4265.067383,9412.182617,11938.86328,13199.83984,10166.5918,11874.13867,2767.784912,19996.05664,5456.42334,2556.276123,9267.705078,3054.84668
Q96IP4,TENT5A,13771.07715,6833.349121,11233.23633,12009.86035,12194.33398,9513.735352,4471.191406,15937.1582,17235.82031,9557.479492,11164.36328,1528.279053,31397.2793,12753.81445,5252.303711,6206.646973,7203.541992,3224.870117
Q96J01,THOC3,134275.3438,33279.75781,73603.40625,36509.75391,20485.17969,50083.19141,69969.34375,1510.651978,37584.89844,27231.81641,22064.58398,1306.506348,2824.421387,27809.29688,44119.1875,48580.36719,19937.44531,3050.753906
Q96P63,SERPINB12,29225.30078,94742.01563,26061.36719,38106.02344,25581.7793,27329.87109,238316.8906,19749.05859,27178.94336,11984.05566,19143.26563,16301.18359,51635.47656,18152.19922,29559.93359,6224.367188,26698.53516,9919.380859
Q96QA5,GSDMA,2792.947266,45273.00391,3032.656738,3065.354492,5546.21875,2481.385986,8325.302734,1887.029419,3835.868164,1414.820679,3160.993164,2224.581055,2532.551758,10613.82031,5392.952148,1471.037354,3617.97168,6232.121582
Q96SB4,SRPK1,4565.300293,1541.424316,2581.755859,919.0662842,582.9483643,596.6981812,3300.82251,1450.931641,1977.753906,12315.40723,1244.348877,7981.669434,2551.865723,2232.477051,5486.354004,4281.163086,872.4787598,1452.298584
Q99460,PSMD1,20737.67188,6558.697266,23850.5293,14950.25977,12755.92383,18776.95117,3559.263672,12120.03516,14239.29102,6200.363281,5769.335449,8389.883789,10385.16992,17738.44727,33409.375,21097.07617,15084.7168,30941.61523
